Z	L	D
ሕውነት ይፃረ፣ዘርኦም ይፃረ ቀፂሉ ልማኖ ይጅመር ከም ናይኣቦኡ።	ሕውነት ይፃረይ፣ ሓያዋነቶም ይፃረይ ካዉኡ ልመና ይግባእ ሃም ናቦኡ።	ሕውነት ይፃረ፣ ሓያነቶም ይፃረ ካዉኡ ልማኖ ይግባእ ሃም ናቦኡ።
እንዳ ጓል እውን ከምኡ ክልተ ወሰን ርእዮም ዘርኦም፣ ውስብቲ፣ ብስርዓት ተፈታቲሾም ክምከር፤ ቀፂሉ ካሊእ መዓልቲ ይምለሱ ከዓ ድሕሪ ብዙሕ ናይ ወለዲ ልመና ሂብናኩም ኣለና ይበሃል መርዓ ይካየድ።	ዓዲ ጓልለ ያው ኽልተ ወሰን ርእዮም ሕያይነቶም፣ ውስብቲ፣ ብደምቢ ተፈታትሾም ክምከር ካዉኡ ኻሊእ ማዓልቲ ይምለሱ ለለ ድሕሪ ብዙሕ ናወለድቲ ልመና ሂብናኩም እኒአና ይበሃል መርዓ ይካየድ።	ዓዲ ጓልለ ያው ኽልተ ወሰን ርእዮም ሓያነቶም፣ ውስብቲ፣ ብደምቢ ትፈታትሾም ክምከር ካዉኡ ኻልእ ማዕንቲ ይምለሱ ለለ ድሕሪ ብዙሕ ናወለድቲ ልመና ህብናኩም ኢነሀና ይበሃል መርዓ ይካየድ።
ኣብ ልማኖ ምሃብን ዘይምሃብን ኣሎ እዩ ።	ኣብ ልመና ምውሃብለ ለይምውሃውለ እንሆ እዩ።	ኣብ ልማኖ ምውሃብለ ደይምውሃብለ ኢነሆ ዩኡ።
ዘይወሃበሉ ምኽንያት ብዙሕ ምኽንያት ኣሎ ብፍላይ ናይቲ ወዲ ስራሕ ጓልና ብምንታይ ካሕድራ እዩ ዝብልን ናይቲ ወዲ ውሽጣዊ ባህርን ናቶም ቆሎዑ ናይ ውስብቲ ነገር ምሰ ኣፃረኻ ማለት እዩ ።	ለይወሃበሉ ምኽንያት ብዙሕ ምኽንያት እንሆ በተለይ ናቲ ወዲ ስራሕ ጓልና ብምንታይ ካሕድራ እዩ ልብልይ ናቲ ወዲ ውሽጣዊ ባህርይ ናቶም ዕያል ናውስብቲ ነገር ብላፃረኻ ማለት እዩ።	ደይወሃበሉ ምኽንያት ብዙሕ ምኽንያት ኢነሆ በተለይ ናቲ ወዲ ስራሕ ጓልና ብምንታይ ካሕድራ ዩኡ ድብልይ ናቲ ወዲ ውሽጣዊ ባህርይ ናቶም ዕያል ናውስብቲ ነገር ብዳፃረኻ ማለት ዩኡ።
መርዓ ይግበር፡፡	መርዓ ይግበር..	መርዓ ይግበር..
ብክልተኡ ዓዲ ተወላዲ፣ ፈታዊ፣ ኩሉ ይዕደም ከም ሃፍተ ገነትካ ቀፂሉ ስነ ስርዓት ይካየድ።	ብኽልቲኡ ዓዲ ወለደኛ፣ ፎታዪ፣ ኹሉ ይዕደም ሃም ሃፍተ ገነትኻ ካዉኡ ስነ ስርዓት ይካየድ።	ብኽልተኡ ዓዲ ወለደኛ፣ ፎታዪ፣ ኹሉ ይዕደም ሃም ሃፍተ ገነትኻ ካዉኡ ስነ ስርዓት ይካየድ።
ስነ ስርዓት መርዓ .....	ስነ ስርዓት መርዓ .....	ስነ ስርዓት መርዓ .....
መጀመርያ ካብ እንዳ ወዲ ቕድሚ ወራዲ መርዓ ካብ እንዳ ዓርኪ ዝመፅእ ቦሶ ብስሑም ቦሲወካ ናይ እንዳ ዓርኪ እናተብሃለ ይወሃብ ነቲ ወራዲ መርዓ ከፋኑ ዝመፀ ተወላዳይ።	መጀመርያ ካዓዲ ወዲ ቕድሚ ኦፋሪ መርዓ ካዓዲ ዓርኪ ልመፅእ ቦሶ ብስሑም ጠስሚ ቦሲውኻ ናዓዲ ዓርኪ ላትብሃለ ይወሃብ ልቲ ኦፋሪ መርዓ ካፋነው ልመፀ ወለደኛ።	መጀመርያ ካዓዲ ወዲ ቕድሚ ኦፋሪ መርዓ ካዓዲ ዓርኪ ድመፅእ ቦሶ ብስሑም ቦስኻ ናዓዲ ዓርኪ ላትብሃለ ይወሃብ ድቲ ኦፋሪ መርዓ ካፋኒ ድመፀ ወለደኛ።
ነኽራይ ቕድሚ ምውፋሩ ተወለድቲ ዓበይቲ ይምሩቑ፣ ኣደታት ይምርቓ ድሕሪ ምረቓ ሰብ ተሰናቢቱ ኣዕርክቲ እውን ሁራ፣ኣደታት እውን እንኳዕ ብርሃን ረአናየ እናተብሃለ ተላህዩ ዘይፈልጥን ደሪፉ ዘይፈልጥይ እውን ብርሃን ስለ ዝኾነ ሹሽ ይብል ይደርፍ ነኽራይ ምስ ቀሺ፣ ሽማግለ፣ ኣዕርኽቲ ብፈረስ ተዓጂው ይኸድ ብናያ ቀደም ማለተይ እዩ ሎሚ ኳ ማኪናባ ግዛዕባ እዩ ዝበሃል ዘሎ ዋ።	ነኽራይ ቕድሚ ምኡፋሩ ዓበይቲ ወለደኛ ይምሩቑ፣ እነታት ይምርቓ ድሕሪ ምረቓ ሰቡ ትሳሊሙ ኣዕርክቲለ ሁራ፣ እነታትለ እንኳዕ ብርሃን ረአናየ ላትብሃለ ትልህዩ ለይፈልጥይ ደሪፉ ለይፈልጥይለ ብርሃን ስለ ልኾነ ሹሽ ይብል ይደርፍ ነኽራይ ምስ ቓሺ፣ ሽማግለ፣ ኣዕርኽቲ ብፈረስ ትዓጅው ይኸድ ብናቓደም ማለተይ እዩ ሎሚኳ መኪናባ ግዛዕባ ድኣም ልበሃሎይዋ።	ነኽራይ ቕድሚ ምኡፋሩ ዓበይቲ ወለደኛ ይምሩቑ፣ እነታት ይምርቓ ድሕሪ ምረቓ ሰቡ ትሳልሙ ኣዕርክቲለ ሁራ፣ ኢነታትለ እንኳዕ ብርሃን ረአናየ ላትብሃለ ትልህዩ ደይፈልጥይ ደርፉ ደይፈልጥይለ ብርሃን ስለ ድኾነ ሱስ ይብል ይደርፍ ነኽራይ ምስ ቓሺ፣ ሽማግለ፣ ኣዕርኽቲ ብፈረስ ትዓጅው ይኸድ ብናቓደም ማለተይ ዩኡ ለሚኳ ማክናባ ግዛዕባ ደኣም በሃሎይዋ።
ዝክደንዎ ክዳንእውን ቦፌ ብቦፌ ኮይኑ ብደምቢ ተምኪሕኻ ዝእለም እዩ ነይሩ።	ልኽደንዎ ኽዳንለ ቦፌ ብቦፌ ኾይኑ ብደምቢ ትመኪሕኻ ልእነብ እዩ ነይሩ።	ድኽደንዎ ኽዳንለ ቦፌ ብቦፌ ኾይኑ ብደምቢ ትምክሕኻ ድእነብ ዩኡ ነብሩ።
ወራዲ መርዓ ድሕሪ ሸውዓተ እዩ ዝወፍር ኣብ መብዛሕቱኡ ከባቢ ዓዲና።	ኦፋሪ መርዓ ድሕሪ ሸውዓተ እዩ ልኦፍር ኣብ መብዛሕቱኡ ኸባቢ ዓዲና።	ኦፋሪ መርዓ ድሕሪ ሸውዓተ ዩኡ ዶኦፍሮ ኣብ መብዛሕቱኡ ከባቢ ዓዲና።
ወራዲ መርዓ እንዳ ጓል ምስ በፅሐ ቅድም ኢሎም ናብ እንዳ ጓል ዝኸዱ ኣዕርክቲ ሹልኽ ሹልኽ ኢሎም ጥሩምባ ጡጥ ጡጥ ይብሉ ናብዳስ ኣቲዎም ኣቲና ኣለና ንምባል።	ኦፋሪ መርዓ ዓዲ ጓል ብልበፅሐ ቕድም ኢሎም ላብ ዓዲ ጓል ይኸዱ ኣዕርክቲ ሹልኽ ሹልኽ ኢሎም ጡጥ ጡጥ ይኢሉ ላብዳስ ገቢኦም ያው ገቢእናእንሀና ልምባል።	ኦፋሪ መርዓ ዓዲ ጓል ብድበፅሐ ቕድም ብሎም ዳብ ዓዲ ጓል ይኸዱ ኣዕርክቲ ሹልኽ ሹልኽ ብሎም ጡጥ ጡጥ ይብሉ ዳዳስ ገብኦም ያው ኣትናነሀና ድምባል።
እንዳ ጓል እውን ኸበሮ ይተሓዝ ዲም ዲም ዲም ይብል።	ዓዲ ጓልለ ኻውሮ ይደሓዝ ድም ድም ድም ይብል።	ዓዲ ጓልለ ኻውሮ ይደሓዝ ድም ድም ድም ይብል።
እንኳዕ ብርሃን ረአናየ ብርሃን ንዓይኒ ይበሃል።	እንኳዕ ብርሃን ረአናየ ብርሃን ልዓይኒ ይበሃል።	እንኳዕ ብርሃን ረአናየ ብርሃንዶ ዓይኒ ይበሃል።
ቀሺን ዓበይቲ ዓዲን ምስመረሑዎ ነኽራይ እውን ብኣዕርኽቱ ተዓጂቡ ሁራ እናበሉ ሒዘሞ ክኣትዩ ከለው ናብ ዳስ እንዳ ጓል እውን ኩሒልየ ሰለል በል ኣምበላይ ወለል በል ኢለን ነቲ ነኽራይ ዘየላሀይኦ ናብ ዳስ ኣየእትወኦን።	ቓሺይ ዓበይቲ ዓዲይ ብልመረሑዎ ነኽራይለ ብኣዕርኽቱ ትዓጂው ሁራ ላበሉ ላብ ዳስ ሒዘሞ ክገብኡ ትብለው  ዓዲ ጓልለ ኩሒልየ ሰለል በል ኣምበላይ ወለል በል ኢለን ለያላሀይኦ ላብ ዳስ የግብኦኦይ።	ቓሺይ ዓበይቲ ዓዲይ ብድመረሑዎ ነኽራይለ ብኣዕርኽቱ ታኣጅው ሁራ ላበሉ ሕዘሞ ክገቡኡ ትብለዩ ዳዳስ ዓዲ ጓልለ ኩሕልየ ሰለል በል ኣምበላይ ወለል በል ብለን ደያልሀየኦ ዳዳስ ኣያግብኦኦይ።
ፅዩቓት ኣዕርኽቲ እውን ጥሕስ ኣቢሎምወን ንምእታው ይምኩሩ ግን ሓፈት ኣየብለኦምን ብዋዛ ዘየላሀካ ኣይስደድን።	ፅዩቓት ኣዕርኽቲለ ጥሕስ ኣቢሎመን ልምግባእ ይምኩሩ ግን ፈር የብለኦሚይ ብዋዛ ለያላሀይኻ የስደዲይ።	ፅዩቓት ኣዕርኽቲለ ጥሕስ ኣብሎመን ድምግባእ ይምኩሩ ግን ፈር ኣያብለኦሚይ ብዋዛ ደያልሀኻ ኣይስደዲይ።
ነኽራይ ፋዕነን ኢሉ ወይከዓ ኹርዕ ኢሉ ዙውር ዝዉር ኢሉ ምስ ተልሀየ ናብ ዝተዳለወሎም ዳስ ይኣትዩ ነኽራይን ተወለድትን ቦታ ቦታኦም ይትሕዙ።	ፋዕነን ኢሉ ወይለ ኹርዕ ኢሉ ዙውር ዝዉር ኢሉ ብትልሀየ ላብ ልትመቻቸወሎም ዳስ ይገቡኡ ነኽራይለ ወለደኛለ ቦታ ቦታኦም ይድሕዙ።	ፋዕነን ብሉ ወይለ ኹርዕ ብሉ ዙውር ዝዉር ብሉ ብትልሀየ ዳትማቻቸየሎም ዳስ ይገቡኡ ነኽራይለ ወለደኛለ ቦታ ቦታኦም ይድሕዙ።
ቀሽን ዓበይቲ ተወለድትን ሰዋ ይቕደሐሎም ይሰትዩ።	ቓሺይ ዓበይቲ ወለደኛይ ሰዋ ይቕደሐሎም ይሰትዩ።	ቓሺይ ዓበይቲ ወለደኛይ ሰዋ ይቕደሐሎም ይሰትዩ።
ብዚ ጎና ጎኒ ኣዕርኽቲ መርዓት ኣበይ ከምዝተሓብአት የፃርዩ ቀሊል መንገዲ ኮረመለ ንቆሎዑ ሂብካ መርዓት እንዳ መን እያ ዘላቶ ተብልካ ቆድድድድ... እናበሉ ኣብ ዘላቶ የርእዩኻ።	ብዚ ጎኒ ጎኒ ኣዕርኽቲ መርዓት ኣበይ ሃምልትሸኮዐት ያፃርዩ ቓሊሉ መንገዲ ከረመለ ልቖልዑ ሂብኻ መርዓት ዓዲመን እዩ ለላቶ ተበልኻ ቁድድድድ... ላበሉ ኣብ ለላቶ ያርእዩኻ።	ብዚ ጎኒ ጎኒ ኣዕርኽቲ ምርዓት ኣበይ ሃምድትሸኮዐት ያፃርዩ ቓልሉ መንገዲ ኮረመለ ድቖልዑ ህብኻ ምርዓት ዓዲመን ዩኡ ድንሃቶ ትብለኻ ቁድድድድ... ላበሉ ኣብ ድንሃቶ ያርእዩኻ።
ቀፂሉ ምህላዋ ምስ ኣረጋገፁ ሽልማት ኣምፁኡ ይበሃሉ መዓንጣኻ ወፂእኻ ዝዓደግካዮ ሽልማት ይመፅእ ቀፂሉ ቆፀራ ይካየድ እዚ እዚ... ጎዲሉ ይበሃል ዝጎደሎ ድማ ዋሕስ ገይርካ ትኸድ (ካሊእ ማዕልቲ ካማልእ እየ ንምባል እዩ)።	ካዉኡ ምህላዋ ብላረጋገፁ ሽልማት ኣምፁኡ ይበሃሉ መዓንጣኻ ወፂእኻ ልዓደግኻዮ ሽልማት ይመፅእ ካዉኡ ቖፀራ ይካየድ እዚ እዚ... ጎዲሉ ይበሃል ልጎደሎ ለለ ዋሕስ ገይርኻ ትኸድ (ያው ኻሊእ ማዕልቲ ካማልእ እየ ልምባል እዩ)።	ካዉኡ ምህላያ ብዳረጋገፁ ሽልማት ኣምፁኡ ይበሃሉ መዓንጣኻ ወፅኻ ድዓደግኻዮ ሽልማት ይመፅእ ካዉኡ ቖፀራ ይካየድ እዚ እዚ... ጎድሉ ይበሃል ድጎደሎ ደማ ዋሕስ ገብርኻ ትኸድ (ያው ኻል ማዕንቲ ካማልእ የአ ድምባል ዩኡ)።
ኣብ መርዓ ብዙሕ ቅንጣምንጢ ስለ ዘለው ኩሉ ኣኪብካ ሒዝካ ምኻድ የመና ከቢድ እዩ ቀፂሉ ከዓ ስለ እተውጅብር ዝትገብሮ እዩ ዝጠፍአካ።	ኣብ መርዓ ብዙሕ ቕንጣምንጢ ስለ ለለው ኹሉ ሓብርኻ ሕዝኻ ምኻድ ብጣዕሚ ኻቢድ እዩ ካዉኡ ለለ ስለ ትውዥርብ ልብኻ እዩ ልጠፍአካ።	ኣብ መርዓ ብዙሕ ቕንጣምንጢ ስለ ድነሀዩ ኹሉ ሓብርኻ ሕዝኻ ምኻድ ከርና ኻብድ ዩኡ ካዉለለ ስለ ትውዥርብ ዑፍኻ ዩኡ ድጠፍአካ።
ሽልማት ምስረአያ ናብዳስ ሽልማቱ ሕዝካዮ ተዘር ንኩሉ ተወላዲ እናዘርካ ተርእዮ ቀፂሉ ደስ ይብሎም ሽልማት ኣይተረፈን ይበሃል።	ሽልማት ብልረአያ ላብዳስ ሽልማቱ ሒዝኻዮ ትዘር ኹሉ ወለደኛ ላዘርኻ ታርእዮ ካዉኡማ ደስ ይብሎም ሽልማት የተረፈይ ይበሃል።	ሽልማት ብድረአያ ዳዳስ ሽልማቱ ሕዝኻዮ ትዞር ኹሉ ወለደኛ ላዞርኻ ታርእዮ ካዉኡማ ደስ ይብሎም ሽልማት ኣይተረፈይ ይበሃል።
ኣየ እዝኒ.....	ኣየ እዝኒ.....	ኣየ እዝኒ.....
ድሕሪዚ ነኽራይ ሒዝካዮ ትኸድ ናብ መርዓት ከይዱ ግልፅ ኣቢሉ ፋቕዕ ቃጣዕ ክተብሎ ኢላ ዝነበረት ጉምብሕ ኢሉ ይስዕማ ፎቶ ይለዓሉ ሁራ እናበልካ ብኣዕርክቲ መርዓዊን መርዓትን ተዓጂቦም ናብዳስ ይኸዱ።	ድሕሪዚ ነኽራይ ሒዝኻዮ ትኸድ ላብ መርዓት ኸይዱ ግልፅ ኣቢሉ ፋቕዕ ቓጣዕ ታብሎ ኢላ ልነበረት ጉምብሕ ኢሉ ይስዕማ ፎቶ ይለዓሉ ሁራ ላበልኻ ኣዕርሐኽቲይ ዑቡኖታትይ ሒዘሞም ላብዳስ ይኸዱ።	ድሕሪዚ ነኽራይ ሕዝኻዮ ትኸድ ዳምርዓት ኸይዱ ግልፅ ኣብሉ ፋቕዕ ቓጣዕ ታብሎ ብላ ድነበረት ጉምብሕ ብሉ ይስዕማ ፎቶ ይለዓሉ ሁራ ላበኻ ኣዕርክቲይ ዑቡኖታትይ ሕዘሞም ዳዳስ ይኸዱ።
ድሕሪዚ ዓበይቲ ዓዲ እንዳ ወዲን ዓዲ ጓልን ብሓደ ኮይኖም እንዳ ወዲ ኣረቂታት፣ መዓር ዋሕስ መቑፀሪ ቅርሺ ሒዞም ኣብ ንምምኽኻር ዝተዳለወ ገዛ ይኸዱ።	ድሕሪዚ ዓበይቲ ዓዲ ዓዲ ወዲይ ዓዲ ጓልይ ብሓደ ኾይኖም ዓዲ ወዲ ኣረቂታት፣ መዓር ዋሕስ መቑፀሪ ቑርሺ ሒዞም ኣብ ልምምኽኻር ልትዳለወ ዓዲ ይኸዱ።	ድሕሪዚ ዓበይቲ ዓዲ ዓዲ ወዲይ ዓዲ ጓልይ ብሓደ ኾይኖም ዓዲ ወዲ ኣረቂታት፣ መዓር ዋሕስ መቑፀሪ ቑርሺ ሕዞም ኣብ ድምምኽኻር ትዘጋጀ ዓዲ ይኸዱ።
እንዳ ወዲ ሒዞሞ ዝመፅኡ የረክቡ።	ዓዲ ወዲ ሒዘሞ ልመፁ የረክቡ።	ዓዲ ወዲ ሕዘሞ ድመፁ ያረክቡ።
እንዳ ጓል ይርከቡ።	ዓዲ ጓል ይርከቡ።	ዓዲ ጓል ይርከቡ።
ካብቲ ዝሃብዎም ቅርሺ 50?	ካፍቲ ልሃብዎም ቑርሺ 50?	ካፍቲ ድሃብዎም ቑርሺ 50?
ቅርሺ ቆሪፆም ዝተረፈ ይምልሱ።	ቑርሺ ቖሪፆም ኻሊኡ ይምልሱ።	ቑርሺ ቖርፆም ኻሉኡ ይምልሱ።
እንዳ ጓል ድማ ስብሕቲ ተዳሊው ይፀንሕ እኽለማይ ይቕረብ ኩሉ ይበልዕ ጉማድ ሰጋ ይመፅእ እኽኽ ክሳብ እትብሎ ትበልዕ።	ዓዲ ጓል ለለ ስብሕቲ ተዘጋጅው ይፀንሕ እኽለማይ ይቕረብ ኹሉ ይበልዕ ቁርጢ ይመፅእ እኽኽ ክሻዕ ልትብሎ ትበልዕ።	ዓዲ ጓል ደማ ስብሕቲ ትዘጋጅዩ ይፀንሕ እኽሎማይ ይቕረብ ኹሉ ይበልዕ ቁርጢ ይመፅእ እኽኽ ካትብሎ ትበልዕ።
ምስበላዕኻ ተመራሪቅካ ናብዳስ ትምለስ።	ብልበላዕኻ ተመራሪቕኻ ላብዳስ ትምለስ።	ብድበላዕኻ ተምራረቕዋ ዳዳስ ትምለስ።
ኣብ ዳስ ድማ ነኽራይ ምስ ምርዓት ቃልኪዳን ብቀሺ ይኣስሩ።	ኣብ ዳስ ለለ ነኽራይ ምስ መርዓት ቃልኪዳን ብቓሺ እያስሩ።	ኣብ ዳስ ደማ ነኽራይ ምስ ምርዓት ቃልክዳን ብቓሺ ይኣስሩ።
ድሕሪ ቃል ኪዳን ምእሳር ነኽራይ ብሓንቲ ሓፍታ ካብ (ናመጀመርያ ቦኽሪ ዓይነ ስና) ስብኣያ ካሊእ ዘይትፈልጥ ሰበይቲ ይቃመስ።	ድሕሪ ቃል ኪዳን ምእሳር ነኽራይ ብሓንቲ ሓፍታ ካ (ናመጀመርያ ቦኽሪ ዓይነ ስና) ስብኣያ ኻሊእ ለይትፈልጥ ሰበይቲ ይቃመስ።	ድሕሪ ቃል ክዳን ምእሳር ነኽራይ ብሓንቲ ሓፍታ ካ (ናመጀመርያ ቦኽሪ ዓይነ ስና) ስውኣያ ኻልእ ደይትፈልጥ ሰበይቲ ይቃመስ።
ሐማ ስብኣያ ጥራሕ ዝትፈልጥ ዝበሃለሉ ባህሊ እታ ምርዓትእውን ከምኣ ምእንቲ ኣብ ሓዳራ ጥንክርቲ ክትኾን ብዝብል እዩ ።	ሐማ ስብኣያ ጥራሕ ትፈልጥ ልበሃለሉ ባህሊ ያው እታ መርዓትለ ሃምኣ ምእንቲ ኣብ ሓዳራ ጥንኩርቲ ትኾን ብልብል እዩ።	ሐማ ስውኣያ ጥራሕ ትፈልጥ ድበሃለሉ ባህሊ ያው እታ ምርዓትለ ሃምኣ ምእንቲ ኣብ ሓዳራ ጥንኩርቲ ትኾን ብድብል ዩኡ።
ነኽራይን ምርዓትን ደርሆ ምስ 12 ብልዕታ ምስ ኣረከብኦም ይቃመሱ ዝተረፈ ኣዕርክቲ ይበልዑ፣ ይጎራረሱ።	ነኽራይይ መርዓትይ ደርሆ ምስ 12 ብልዕታ ብላረከብኦም ይቃመሱ ልተረፈ ኣዕርክቲይ ዑቡኖታቲይ ይበልዑ፣ ይጎራረሱ።	ነኽራይይ ምርዓትይ ደርሆ ምስ 12 ብልዕታ ብዳረከበኦም ይቃመሱ ድተረፈ ኣዕርክቲይ ዑቡኖታቲይ ይበልዑ፣ ይጎራረሱ።
ድሕሪዚ ዋሕስ ምቑፃር ይጅመር።	ድሕሪዚ ዋሕስ ምቑፃር ይጅመር።	ድሕሪዚ ዋሕስ ምቑፃር ይጅመር።
ካብ እንዳ ወዲ ክልተ ካብ እንዳ ጓል ክልተ።	ካዓዲ ወዲ ኽልተ ካዓዲ ጓል ኽልተ።	ካዓዲ ወዲ ኽልተ ካዓዲ ጓል ኽልተ።
እንዳ ጓል ንእንዳ ወዲ ጓልና ከየፀገምኩምን ከይበደልኩምን ነንብራ ኢና ወዲና ሓመቐት፣ ትበላሸየት ኢሉ ከም ዘይከድዓ ዋሕስ ይኹንኩም ዶ?	ዓዲ ጓል ልዓዲ ወዲ ጓልና ተያፀገምኹምይ ተይበደልኹሚይ ናንብራ ኢና ወዲና ሓመቐት፣ ትበላሸየት ኢሉ ሃምለይኻድዓ ዋሕስ ይኹንኹምዶ?	ዓዲ ጓል ድዓዲ ወዲ ጓልና ተያፀገምኹምይ ተይበደልኹሚይ ናንብራ የና ወዲና ሓመቐት፣ ትበላሸየት ብሉ ሃምደይኻድዓ ዋሕስ ይኹንኹምዶ?
ዋሕስ ይኹነና።	ዋሕስ ይኹነና።	ዋሕስ ይኹነና።
ሰቲ ይትሓዝኩም ዶ?	ሰቲ ይድሓዝኹምዶ?	ሰቲ ይድሓዝኹምዶ?
ይትሓዘና።	ይድሓዘና።	ይድሓዘና።
መሕደሪ ጓልና ይበሃል ብምንታይ ከም ዘሕድራ ብደሞዝዶ ብካሊእ ይፀዉዩ።	መሕደሪ ጓልና ይበሃል ብምንታይ ሃምለሕድራ ብደሞዝዶ ብኻሊእ ይፀዉዩ።	መሕደሪ ጓልና ይበሃል ብምንታይ ሃምዳሕድራ ብደሞዝዶ ብኻልእ ይፀዉዩ።
እንዳ ጓል ድማ ንእንዳ ወዲ ብተመሳሳሊ ዋሕስ ይኾኑ።	ዓዲ ጓልለ ልዓዲ ወዲ ብተመሳሳሊ ዋሕስ ይኾኑ።	ዓዲ ጓልለ ድዓዲ ወዲ ብትመሳሳሊ ዋሕስ ይኾኑ።
ሽልማት ንተወለድቲ የቕርቡ ዝተፈላለዩ ክዳን ቦፌታት ማለት እዩ ።	ሽልማት ልወለደኛ የቕርቡ ልተፈላለዩ ኽዳን ቦፌታት ማለት እዩ።	ሽልማት ድወለደኛ ያቕርቡ ትፈላለዩ ኽዳን ቦፌታት ማለት ዩኡ።
መንዳእቲ ንወዲና መሕደሪ ክንነዚ ሂብናዮ ይበሃል ዕልልል ይበሃል።	መንዳእቲ ልወድና መሕደሪ ህንድዚ ሂብናዮ ይበሃል ዕልልል ይበሃል።	መንዳእቲ ድወዲና መሕደሪ ህንድዚ ህብናዮ ይበሃል ዕልልል ይበሃል።
ፕሮግራም ይጠናቐቕ መርዓት ሒዝካ ይኽየድ።	ፕሮግራም ይጠናቐቕ መርዓት ሒዝኻ ይኽየድ።	ፕሮግራም ይጠናቐቕ ምርዓት ሕዝኻ ይኽየድ።
በቢ መንገዱ ሓላፊ መንገዲ ይኽትረካ (ኣየሕልፍን ይብለካ) ፈረስካ ሒዙ ሕምበሻ ወይከዓ ከረመለ ሃቡና እናበለ።	በየ መንገዱ ሓላፊ መንገዲ ይኽትረካ (ኣየሕልፍይ ይብለካ) ፈረስኻ ሒዙ ሕምበሻ ወይ ከረመለ ሃቡና ላበለ።	በየ መንገዱ ሓላፊ መንገዲ ይኽትረካ(ኣያሕልፍይ ይብለኻ) ፈረስኻ ሕዙ ሕምበሻ ወይ ኮረመለ ሃቡና ላብለ።
ኣይህብን ኣይበሃልን ካብ ዝውዳእ ንዝጠየቐካ ኩሉ ትህቦ እሞ ዓደኻ ትኣቲ መርዓትካ ሒዝኻ።	የህብይ የበሃልይ ካልውዳእ ልልጠየቐካ ኹሉ ትህብዶ ዓዲኻ ትኣቲ መርዓትኻ ሒዝኻ።	ኣይህብይ ኣይበሃልይ ካድውዳእ ድድጠየቐካ ኹሉ ትህብዋ ዓዲኻ ትኣቲ ምርዓትኻ ሕዝኻ።
ከዓ እንኳዕ ብርሃን ረአናየ ይበሃል።	ለለ እንኳዕ ብርሃን ርኣናየ ይበሃል።	ለለ እንኳዕ ብርሃን ረአናየ ክበሃል።
ቕድሚ ገዛ ምእታዎም መሳገሪ ምንቀኛ/ናሓማዪ ይሕረደሎም ሰለስተሻብ ይሻገሩ ቀፂሉ ኣዕርክቲ ቀላሊጦም ይሓርዱዋ ብሞቅሎ ሓፂን ጠባቢሶም ንመረዑን ኣዕርኽቲን ቀፂሉ እውን ኣብቲ ምጥባስ ሃተውተው ዝበሉን ሓዊስካ ትቋደስ።	ቕድሚ ዓዲ ምግባኦም መሻገሪ ምንቀኛ/ናሓማዪ ይሕረደሎም ሰለስተሻዕ ይሻገሩ ካዉኡ ኣዕርክቲ ቓላሊጦም ይሓርዱዋ ብሞቕሎሓጭን ጠባቢሶም ልመራዑይ፣ዑቡኖታትይ፣ ላኣዕርኽቲይ ካዉኡለ ኣብቲ ምጥባስ ልሳተፉ ደምቢርኻ ትቋደስ።	ቕድሚ ዓዲ ምግባኦም መሻገሪ ምንቀኛ/ናሓማዪ ይሕረደሎም ሰለስተሻዕ ይሻገሩ ካዉኡ ኣዕርክቲ ቓላልጦም ይሓርዱዋ ብሞኽልሓጭን ጠባብሶም ድመራዑይ፣ዑቡኖታትይ፣ ዳኣዕርኽቲይ ካዉኡለ ኣብቲ ምጥባስ ተፍተፍ ድበሉይ ደምብርኻ ትቋደስ።
ለይቲ ሙሉእ ኣብ ዳስ ውሽጥኻን ውቃበኻን ብደርፊን ከበሮን እናጠበርካ ትሓድር።	ለይቲ ሙሉእ ኣብ ዳስ ውሽጥኻይ ውቃበኻይ ብደርፊይ ኻበሮይ ላጠበርኻ ትሓድር።	ለይቲ ሙሉእ ኣብ ዳስ ውሽጥኻይ ውቃበኻይ ብደርፊይ ኻበሮይ ላጠበርኻ ትሓድር።
ስዋ ክስተ ብነጋኡ ናይ ወዲ መርዓ ይኾን።	ሰዋ ክስተ ብነጋኡ ናወዲ መርዓ ይኾን።	ሰዋ ክስተ ብነጋኡ ናወዲ መርዓ ይኾን።
ድሕሪዚ መርዓት ምስ ነኽራይ ሃሰስ ከይበላ ትሓድር፡፡	ድሕሪዚ መርዓት ምስ ነኽራይ ሃሰስ ተይበላይ ትሓድር፡፡	ድሕሪዚ ምርዓት ምስ ነኽራይ ሃሰስ ተይበላይ ትሓድር።
ኣየኽእልን ከይብሎ ኣዕርኽቲ መርዓዊን መርዓትን ምስኣቶም ጥቃ ንጥቃ ይድቅሱ።	የኽእልይ ከይብሎ ዑቡኖታትለ ኣዕርኽቲለ ምስኣቶም ጥቓ ልጥቓ ይህርሱ።	ኣያኽእልይ ሀይብሎ ዑቡኖታትለ ኣዕርኽቲለ ምስኣታቶም ኣብ ጥቓይ ጥቓይ ይህርሱ።
